"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_log",0.623132800481352,0.573082521179729,0.604860647823918,0.654115146963722,0.610566680470664,0.596290246977177,0.600704591592686,0.629610900591779,0.586316510414418,0.572335762439949
"gerlang_FALSE_rps",0.619125927006816,0.581126501600753,0.613903920912569,0.657052526318368,0.61610876319727,0.60681672046095,0.606175391042246,0.639669758076369,0.583953037109406,0.5716432220965
"gerlang_FALSE_brier",0.616261515390565,0.574329657276182,0.60273638717506,0.653844438308272,0.605354614923385,0.594858133222143,0.595931340675474,0.625913749135632,0.583362452058932,0.57170505507801
"gerlang_FALSE_all",0.61887686678119,0.572862542622925,0.604367268722881,0.653032024566976,0.609327273831877,0.596375781702995,0.59866420312027,0.629392337735294,0.582232615798,0.5699206349289
"gerlang_TRUE_log",0.612296091542185,0.560015446833838,0.595587538663109,0.647316347136238,0.60541548355252,0.585685398701554,0.597118248867062,0.626628663553693,0.582803369245333,0.574703704749959
"gerlang_TRUE_rps",0.609053637441034,0.565996813557474,0.603949510567036,0.651819294554213,0.613077142770025,0.592161694961391,0.602459078220486,0.640232898622725,0.58408581159379,0.577863311048243
"gerlang_TRUE_brier",0.604580651862089,0.559557512876706,0.592190895047395,0.645936355631999,0.601393742182776,0.581003715029589,0.594351899102022,0.62374718548358,0.5827181240279,0.57410270796335
"gerlang_TRUE_all",0.608061110832025,0.55913630340286,0.594640278750325,0.64629293879478,0.604288184572029,0.584441673587767,0.595074326786443,0.626811024693164,0.579630652807741,0.572754940130118
"gerlang_relax_FALSE_log",0.592556300013419,0.554554566167672,0.578702318722551,0.624591540790023,0.586567718861823,0.5701604147884,0.579735079974998,0.603958570349644,0.559204977977981,0.550602832512981
"gerlang_relax_FALSE_rps",0.587517637844099,0.557526452588426,0.581183768926753,0.62232147198697,0.584239622031634,0.574279512855548,0.582340283214211,0.605239981265667,0.558837786854815,0.548504709081624
"gerlang_relax_FALSE_brier",0.638008334674618,0.79129929987122,0.668426387326098,0.709815069706467,0.642812618278093,0.644514518940521,0.641424349950739,0.660542413463319,0.625433242015546,0.628968271570153
"gerlang_relax_FALSE_all",0.589629566874865,0.554681520305933,0.578415359839337,0.623444832159937,0.584988613185599,0.57047228435156,0.57915658560061,0.603367174602033,0.557574778772074,0.54913382809539
"gerlang_relax_TRUE_log",0.586400455835411,0.541888606659015,0.569356681643974,0.61898083885056,0.581277733280966,0.557680370739691,0.575939373086446,0.600367241181722,0.558113385351306,0.556380673103693
"gerlang_relax_TRUE_rps",0.582328514003822,0.684299222113344,0.571212551813969,0.619266242146253,0.579950024140053,0.559204052382507,0.579040046500994,0.603939803058666,0.559273452046821,0.559388454380834
"gerlang_relax_TRUE_brier",0.581469524962407,0.542878734103069,0.568380895704599,0.617491772158801,0.580071383933312,0.55811694977038,0.576263023147727,0.600925790504306,0.557058951723906,0.556571462640441
"gerlang_relax_TRUE_all",0.583661101801492,0.541639876396637,0.56859868960007,0.618140770171751,0.579929621001349,0.557252105694727,0.575555370857563,0.600263440209836,0.557173265289319,0.556155262473014
"free_upper_tri_FALSE_log",0.574545323092045,0.544952469985378,0.569422023132889,0.607442766099344,0.565787037784323,0.562033023384092,0.574658238556827,0.582308606027015,0.546765572270985,0.530489728014279
"free_upper_tri_FALSE_rps",0.577244961005286,0.547516727022445,0.57882653096058,0.61051622108151,0.571387902084141,0.565519846703505,0.577585893666634,0.587015086957741,0.548193380881979,0.526245280176091
"free_upper_tri_FALSE_brier",0.577075767870822,0.547166766608981,0.575563498983156,0.60965401052619,0.572060251936338,0.564979839298759,0.577066271047868,0.587145934891232,0.547444127609966,0.527438554429031
"free_upper_tri_FALSE_all",0.572084481885005,0.545123352463419,0.569643129521959,0.606895322730027,0.565226026000117,0.562323073384361,0.574087053844679,0.58192149490574,0.545289532697326,0.528747786749746
"free_upper_tri_TRUE_log",0.567688489292063,0.53191802226719,0.55907761994132,0.601740500885335,0.558151835317911,0.549542062309888,0.568435121238403,0.578168715602147,0.543034958352357,0.536065164071373
"free_upper_tri_TRUE_rps",0.566222917841562,0.533449315181871,0.562386530936978,0.604853605568376,0.563006356647009,0.549969505234594,0.570233670174131,0.583491571288157,0.543403509950626,0.534243892516268
"free_upper_tri_TRUE_brier",0.563714149401907,0.532158825730365,0.558128713621988,0.601102316250558,0.755366649592733,0.803969745354128,0.777009155263477,0.578189383698709,0.541323572833943,0.532424783569876
"free_upper_tri_TRUE_all",0.565564074535884,0.532001279791698,0.558850680340682,0.601649671591052,0.558227960833098,0.549234851210582,0.567866764237956,0.578287071283301,0.542107445937471,0.534205160280838
"uniform",0.709562841530055,0.709178082191781,0.715525114155251,0.707945205479452,0.709406392694064,0.714429223744292,0.717488584474886,0.715114155251142,0.719406392694064,0.713351254480287
"persistence",0.836065573770492,0.849315068493151,0.871232876712329,0.898630136986301,0.821917808219178,0.832876712328767,0.854794520547945,0.832876712328767,0.865753424657534,0.881720430107527
"empirical_dist",0.68899887255636,0.692641242154505,0.715786359621939,0.726890896194536,0.704126725199835,0.707485185936045,0.693515505855673,0.708045629913365,0.67646333892789,0.679113682088456
"empirical_dist_corr",0.620606647763422,0.620098847414636,0.648423775252617,0.647399887683565,0.633169001087105,0.638693626195461,0.633706093274145,0.642128562203632,0.617492333030138,0.60891133705819
"olr",0.626809564167198,0.609226882683694,0.643356790561683,0.653579898459623,0.624329685906452,0.630594759202514,0.61966301181323,0.634488772462357,0.616115271655899,0.604608711078128
"olr_cov",0.618526532783356,0.599661826885026,0.638609141754665,0.653142771095712,0.622159243600962,0.626247478448148,0.617326382327858,0.636936476796515,0.615321712793067,0.604963466362252
"obs",0,0,0,0,0,0,0,0,0,0
