"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_log",1.22323662787837,1.10168712062913,1.19702956393538,1.36433096923054,1.17146822301851,1.19059978115486,1.15873515399499,1.21663044700345,1.10212584556241,1.09300821600837
"gerlang_FALSE_rps",1.25090406029012,1.12397954035718,1.23669948291394,1.4040416129016,1.20371127668165,1.23527535361112,1.18382137472157,1.26293861408924,1.12489635681038,1.09921201318799
"gerlang_FALSE_brier",1.2274522455375,1.11480960214789,1.20701115728955,1.39069855031585,1.17302310051534,1.20484439096542,1.15987890868527,1.22249603587456,1.11613412113247,1.10061154525884
"gerlang_FALSE_all",1.22297957556725,1.10292439381708,1.20114304672562,1.37187459284027,1.17364457947203,1.19656453119398,1.15859273000125,1.22120210703121,1.10144750390842,1.0900346213286
"gerlang_TRUE_log",1.21874923334388,1.07554472061107,1.18002809692035,1.35802502314604,1.1480923760226,1.16142975059241,1.14903091666743,1.21487456324572,1.0948748552868,1.08719596107295
"gerlang_TRUE_rps",1.26730314037836,1.09463091218499,1.22916410283077,1.40718974577112,1.180128177555,1.19859078841581,1.17494498906033,1.28065293101909,1.12229767928311,1.10394770686693
"gerlang_TRUE_brier",1.22653873634115,1.0895980613545,1.1913539758941,1.3889080523974,1.15653522845844,1.17070537493824,1.15837488145856,1.22710001846455,1.11933221055944,1.09698035750574
"gerlang_TRUE_all",1.2207786527302,1.07569233918507,1.18414221259972,1.36655558149092,1.14920087598039,1.16429369425955,1.14905923861046,1.22093881068442,1.09587086220344,1.08509122411075
"gerlang_relax_FALSE_log",1.1264789714165,1.02065223269768,1.08482914151757,1.18638331581634,1.08579792242182,1.07097301617001,1.06609431519669,1.13731133670688,1.0396805716311,1.00711904559783
"gerlang_relax_FALSE_rps",1.14475270287149,1.03281687963357,1.10687282329007,1.20357544188148,1.09811421444686,1.09472648277377,1.07771249593406,1.16216604556201,1.05062380358385,1.00785368203764
