"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_softplus_softplus_all",1.22295274933888,1.10299594739964,1.20144327302544,1.36886895539878,1.17310265191977,1.1938992243678,1.1568128112682,1.21849523198892,1.09920815806025,1.09004531763529
"gerlang_TRUE_softplus_softplus_all",1.22196365295948,1.07385222758444,1.18463732369847,1.3637617773596,1.14948729528906,1.16181621185165,1.14633117018185,1.21881407191974,1.09419562166184,1.08377575758257
"gerlang_relax_FALSE_softplus_softplus_all",1.12579912776234,1.02113362432541,1.08731194083765,1.18628091254249,1.08530244386346,1.07211182314207,1.06631193624994,1.13735668854689,1.03700536441071,1.00436569811058
"gerlang_relax_TRUE_softplus_softplus_all",1.12651481363076,0.992238911519848,1.07024028712356,1.17733708869035,1.06687046767896,1.0456002717297,1.05782626117815,1.13444054107456,1.03051533766264,1.00870622674416
"free_upper_tri_FALSE_softplus_softplus_all",1.0657271593927,0.985699840485006,1.05136439816691,1.13448075724172,1.03671888432118,1.03769568366017,1.04043330848943,1.07258508962468,0.994201845949689,0.958890255145584
"free_upper_tri_TRUE_softplus_softplus_all",1.06323283622878,0.954988511853715,1.03443575634893,1.12283838876244,1.01445532172269,1.01285224748684,1.02716656313612,1.07293356401355,0.982878668632858,0.959963808127863
"uniform",1.28888179223988,1.28785155826833,1.31117902573785,1.29373501717168,1.29183146084631,1.30841848682825,1.31634961873506,1.30749007679111,1.31800232948043,1.30237061262793
"persistence",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"empirical_dist",1.38078175282848,1.36107627896502,1.41549548256576,1.42764137289499,1.3988904317987,1.39463411972502,1.36492584152208,1.40587572069478,1.3305348209183,1.33846681177972
"empirical_dist_corr",1.12994097032483,1.12516858718048,1.18127177771175,1.16170279780531,1.1512879418787,1.16292796623521,1.15917678944784,1.16790624545124,1.12491863709414,1.11341536093629
"empirical_dist_smart",0.97565106226535,0.956616784108123,1.01391564783419,0.999570461234139,0.96457503031601,0.963711886090932,0.973536627182662,0.962578771910642,0.953020123563982,0.947159643131868
"olr",1.20743862854653,1.14769225788208,1.24066896836924,1.2633844620751,1.18557821333152,1.2104477424667,1.17017547384599,1.19749793902762,1.14911221335917,1.14296931977855
"olr_cov",1.19282735364462,1.12996258166755,1.23057760365238,1.25751124766217,1.16988751639438,1.19436719283789,1.15716815451636,1.19993729963629,1.14774433904442,1.13775410342202
"opr",1.20527808106798,1.15239437278419,1.24157009185572,1.26364532460189,1.19004802008479,1.21523423142301,1.17426347393134,1.19910288630639,1.14189465554614,1.15373577491317
"opr_cov",1.18996828232712,1.13501897686917,1.232708870819,1.25935668495269,1.1720568489879,1.19788045905976,1.15875144825983,1.2025181045616,1.13970224354109,1.14649296918185
"ocllr",1.27116660992883,1.23225571502366,1.30806946614949,1.32119030594166,1.26733691641602,1.28388276478058,1.24789648432262,1.27363368194156,1.20570949861021,1.23085712162299
"ocllr_cov",1.25246162180155,1.2129080321452,1.30185869659277,1.32151247263414,1.24442554027345,1.26422683174791,1.22763441554407,1.27878437802439,1.20293693951238,1.22047245602782
"obs",0,0,0,0,0,0,0,0,0,0
