"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_log",0.491979232477894,0.431615836020402,0.494663796400788,0.533523387367773,0.481393010076572,0.488411189240525,0.466546525672751,0.4861451319266,0.448301421295852,0.440882902194397
"gerlang_FALSE_rps",0.475005815715968,0.426703162690809,0.487497942951447,0.519916664913786,0.47286584319197,0.483364566831967,0.457091007562865,0.482373513166674,0.438177470258934,0.428251781558407
"gerlang_FALSE_brier",0.485762200987866,0.432420767019978,0.491922184236285,0.534963174006297,0.474397795851192,0.485864541354423,0.459551944802597,0.480367912041007,0.448328879636213,0.439719927942009
"gerlang_FALSE_all",0.485354689474424,0.428502480112648,0.49057553037468,0.528890991698163,0.476885557138741,0.485090223907105,0.461213239737818,0.482731317756621,0.443377854381251,0.435853731273804
"gerlang_TRUE_log",0.484600673618342,0.417418853180204,0.48429737653901,0.524150370471598,0.47359484301703,0.475134739050739,0.462428522562834,0.481485962978764,0.444086403952711,0.439885627493945
"gerlang_TRUE_rps",0.46859776865717,0.411762851189993,0.477385203799227,0.511657019258343,0.464287867912193,0.466424562177567,0.451819232898039,0.481476487405204,0.434079537319358,0.428174986908164
"gerlang_TRUE_brier",0.481750377206613,0.417343630932628,0.482025664676219,0.524651916072323,0.469630720625026,0.472035488848016,0.459778089134522,0.478501621972742,0.447450264050619,0.438012395663591
"gerlang_TRUE_all",0.479003852966162,0.414088806844408,0.480328868087899,0.519775425691003,0.469280023510108,0.471069177941806,0.45757804469908,0.478951334312525,0.439750005984971,0.435013572315452
"gerlang_relax_FALSE_log",0.462093666626129,0.414361776815122,0.470575826011991,0.50091048025489,0.46106797929424,0.46604524511594,0.446626847265414,0.469547070233492,0.428939546246772,0.41944868516241
"gerlang_relax_FALSE_rps",0.454900791825659,0.414173550749889,0.468771551526065,0.495656178078787,0.455252460606877,0.465011572341756,0.444446163837676,0.467432344673271,0.427885486605976,0.414049204496136
"gerlang_relax_FALSE_brier",0.505555670261633,0.534169748240727,0.537911489420749,0.573624864961349,0.496688546319873,0.518135265179481,0.487692565130677,0.504391186846064,0.491291066564917,0.482426103881132
"gerlang_relax_FALSE_all",0.459210552361725,0.413622914990995,0.469320078649369,0.498767591011079,0.458908391449616,0.465169708094357,0.445277138711482,0.468496621314017,0.427757062482426,0.417256307667649
