"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_softplus_softplus_all",0.485354505167532,0.428632587308559,0.491354073007931,0.527629737593107,0.476975478874962,0.483886236922886,0.460198086591292,0.481538304824919,0.442345171276027,0.435928457009378
"gerlang_TRUE_softplus_softplus_all",0.479958587900624,0.413076309788135,0.481521284951129,0.518388310423008,0.469436221453888,0.469601989520534,0.456289302966258,0.477654489886183,0.438767959780062,0.433896933478252
"gerlang_relax_FALSE_softplus_softplus_all",0.459211807725942,0.413346836004775,0.470426933559779,0.497480379261948,0.459294356947501,0.463967396390931,0.444526560678922,0.467296778767884,0.426682684650448,0.416958983941767
"gerlang_relax_TRUE_softplus_softplus_all",0.455103359566386,0.399294872276965,0.46065946121309,0.490551934862416,0.449402728361189,0.448796973509445,0.437555057800383,0.463977185793989,0.422430490390518,0.415974465547087
"free_upper_tri_FALSE_softplus_softplus_all",0.451784183572881,0.408392885414158,0.466094944072033,0.489490665546864,0.45005700910886,0.460473487324584,0.444594224153729,0.460088291246084,0.425442147714458,0.408388286112867
"free_upper_tri_TRUE_softplus_softplus_all",0.448183548251733,0.395496637639348,0.455858978173198,0.483452819307871,0.438919361518976,0.446176538528605,0.436531117502893,0.457054696845344,0.420528020360021,0.40929302664546
"uniform",0.600591985428051,0.589981785063752,0.61449605343048,0.592956891317547,0.603400121432908,0.61774438372799,0.614283545840923,0.616355494839101,0.599795081967213,0.583236520703009
"persistence",0.743169398907104,0.724043715846995,0.792349726775956,0.83879781420765,0.704918032786885,0.745901639344262,0.724043715846995,0.724043715846995,0.762295081967213,0.758713136729222
"empirical_dist",0.567897837715287,0.564440626019882,0.601449821400287,0.600774151295679,0.578323907527581,0.58876859757001,0.571426986991744,0.590738044406457,0.547629679898962,0.535843362007771
"empirical_dist_corr",0.505594298841721,0.498875851402392,0.53849062654891,0.516541356686717,0.515681510713773,0.532123958878129,0.524358126757132,0.532261183931029,0.500146810173273,0.482852129501481
"empirical_dist_smart",0.426695732119985,0.41418563662604,0.454426572837568,0.458866543047784,0.416739984247093,0.433411214645096,0.420906249840645,0.427156646854305,0.41512970550422,0.405019736758416
"olr",0.45653703031542,0.432980708527652,0.481350569204239,0.488558359142367,0.44709971961805,0.467774321980805,0.448217697213056,0.459923742077393,0.438488814436321,0.425416260463676
"olr_cov",0.447336168557782,0.422710952635402,0.475329806921787,0.485780345778903,0.439717546414544,0.458772496613013,0.441234710815354,0.461954471884615,0.436750226077734,0.422108825925911
"opr",0.45827991250921,0.436267668521296,0.484083397437045,0.488829723826209,0.451765016867407,0.471141765942371,0.451593190551316,0.463246467013587,0.439004314357155,0.428518600832768
"opr_cov",0.448676424261919,0.425861974854885,0.477875629534968,0.485851288261292,0.443885986633748,0.462123134081706,0.444410669158919,0.465115080625642,0.43750057814851,0.425301981294971
"ocllr",0.4834361451685,0.469529556873044,0.513158423281227,0.510334684912543,0.483676439516983,0.499640479524186,0.483901671644232,0.495343544503909,0.465237364021964,0.451369337714416
"ocllr_cov",0.474744891361279,0.45996446820321,0.507010025708353,0.505478029298974,0.475023263762011,0.490124975827936,0.476564905970506,0.497353478103435,0.463500001261403,0.449813516608478
"obs",0,0,0,0,0,0,0,0,0,0
